loc_rowid,pl_hostname,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_dens,ra,dec,st_teff,st_mass,st_rad,pl_masse,pl_rade
884,K2-187,Transit,4,0.773981,,,,132.523605,23.1926,5477,0.97,0.89,,1.383
885,K2-187,Transit,4,2.871788,,,,132.523605,23.1926,5477,0.97,0.89,,1.701
886,K2-187,Transit,4,7.149079,,,,132.523605,23.1926,5477,0.97,0.89,,3.221
887,K2-187,Transit,4,13.608341,,,,132.523605,23.1926,5477,0.97,0.89,,2.255
888,K2-188,Transit,2,1.742983,,,,129.813629,23.357481,5982,1.11,1.11,,1.259
889,K2-188,Transit,2,7.807595,,,,129.813629,23.357481,5982,1.11,1.11,,2.625
890,K2-189,Transit,2,5.1763,,,,203.621292,-15.036359,5503,0.93,0.86,,1.512
891,K2-189,Transit,2,6.67934,,,,203.621292,-15.036359,5503,0.93,0.86,,2.484
892,K2-19,Transit,3,7.9194,0.074,,,174.960312,0.603575,5430,0.93,0.86,,7.74
893,K2-19,Transit,3,11.90715,0.0971,,,174.960312,0.603575,5430,0.93,0.86,,4.86
894,K2-19,Transit,3,2.50856,0.0344,,,174.960312,0.603575,5430,0.93,0.86,,1.14
895,K2-190,Transit,2,10.098858,,,,205.363495,-13.160896,5631,0.9,0.91,,1.357
896,K2-190,Transit,2,21.574023,,,,205.363495,-13.160896,5631,0.9,0.91,,1.093
897,K2-191,Transit,1,2.858646,,,,201.639175,-12.806568,5176,0.9,0.84,,1.579
898,K2-192,Transit,1,4.163221,,,,206.582275,-11.556253,5252,0.87,0.83,,1.575
899,K2-193,Transit,1,14.787207,,,,205.237061,-11.009296,5623,0.99,0.96,,4.015
900,K2-194,Transit,1,39.721386,,,,204.608932,-8.92715,5979,1.11,1.28,,3.642
901,K2-195,Transit,2,15.853543,,,,199.831512,-8.50948,5712,0.96,0.91,,2.94
902,K2-195,Transit,2,28.482786,,,,199.831512,-8.50948,5712,0.96,0.91,,2.576
903,K2-196,Transit,1,48.324222,,,,200.456345,-8.471721,6045,1.16,1.54,,3.6
904,K2-197,Transit,1,8.357954,,,,202.393661,-7.374002,5675,0.97,0.91,,2.502
905,K2-198,Transit,1,17.043179,,,,198.843811,-6.464886,5262,0.84,0.78,,4.119
906,K2-199,Transit,2,3.225423,,,,208.901703,-6.136143,4681,0.71,0.67,,1.882
907,K2-199,Transit,2,7.374497,,,,208.901703,-6.136143,4681,0.71,0.67,,2.837
908,K2-200,Transit,1,2.849883,,,,202.251602,-4.610228,5233,0.86,0.79,,1.364
909,K2-201,Transit,2,1.05979,,,,293.56073,-23.131035,5507,0.96,0.88,,1.4
910,K2-201,Transit,2,22.779878,,,,293.56073,-23.131035,5507,0.96,0.88,,3.286
911,K2-202,Transit,1,3.405164,,,,283.264282,-22.407034,5491,0.97,0.91,,2.302
912,K2-203,Transit,1,9.695101,,,,12.773741,-1.195891,5000,0.79,0.76,,1.371
913,K2-204,Transit,1,7.055784,,,,17.382523,-0.51762,5755,1.01,1.18,,3.046
914,K2-205,Transit,1,26.672263,,,,15.217487,0.425996,5890,0.95,1.08,,1.996
915,K2-206,Transit,1,18.294549,,,,11.256313,0.593257,5043,0.79,0.76,,2.795
916,K2-207,Transit,1,12.48749,,,,11.699704,0.640796,5522,0.94,0.93,,2.606
917,K2-208,Transit,1,4.190948,,,,20.779097,0.889177,5582,0.93,0.86,,1.679
918,K2-209,Transit,1,2.080615,,,,14.690681,1.383812,4720,0.74,0.71,,0.869
919,K2-21,Transit,2,9.325038,0.076,0.1,,340.30368,-14.488987,4222.06,0.68,0.65,,1.84
920,K2-21,Transit,2,15.50192,0.107,0.21,,340.30368,-14.488987,4222.06,0.68,0.65,,2.49
921,K2-210,Transit,1,0.570233,,,,17.640936,1.578266,5396,0.91,0.85,,0.819
922,K2-211,Transit,1,0.669558,,,,21.105953,1.704954,5221,0.88,0.82,,1.375
923,K2-212,Transit,1,9.7954,,,,18.423407,3.096936,4349,0.62,0.6,,2.393
924,K2-213,Transit,1,8.13087,,,,13.140305,3.507705,5794,1.07,1.2,,1.514
925,K2-214,Transit,1,8.596531,,,,14.876077,4.227798,5768,1.02,1.12,,2.216
926,K2-215,Transit,1,8.269648,,,,18.470087,6.123902,5704,1,0.97,,2.124
927,K2-216,Transit,1,2.174789,,,,11.480249,6.346971,4591,0.7,0.67,,1.678
928,K2-217,Transit,1,14.074524,,,,11.298392,6.481562,5967,1.1,1.33,,3.579
929,K2-218,Transit,1,8.679885,,,,12.809659,6.84646,5757,1.05,1.01,,2.569
930,K2-219,Transit,3,3.901287,,,,12.845309,8.86764,5753,1.02,1.19,,1.348
931,K2-219,Transit,3,6.66767,,,,12.845309,8.86764,5753,1.02,1.19,,1.438
932,K2-219,Transit,3,11.137278,,,,12.845309,8.86764,5753,1.02,1.19,,2.576
933,K2-22,Transit,1,0.381078,0.0088,,,169.482819,2.61907,3830,0.6,0.57,444.962,2.5
934,K2-220,Transit,1,13.682511,,,,12.769862,9.516806,5599,0.96,0.93,,2.215
935,K2-221,Transit,1,2.399094,,,,16.654982,10.189687,5716,1.01,0.95,,1.679
936,K2-222,Transit,1,15.388825,,,,16.46228,11.753423,5934,0.95,1.04,,2.223
937,K2-223,Transit,2,0.50557,,,,185.306152,-10.282037,5859,1.07,1.01,,0.91
938,K2-223,Transit,2,4.564169,,,,185.306152,-10.282037,5859,1.07,1.01,,1.62
939,K2-224,Transit,1,4.478591,,,,189.704086,-10.060654,5614,0.9,0.84,,1.664
940,K2-225,Transit,1,15.871455,,,,186.54129,-9.624804,5733,1.11,1.21,,2.661
941,K2-226,Transit,1,3.271106,,,,183.645752,-9.562642,5397,0.89,0.82,,1.487
942,K2-227,Transit,1,13.621832,,,,190.948471,-8.478236,5673,0.95,0.89,,1.666
943,K2-228,Transit,1,2.698368,,,,187.294785,-6.834258,4764,0.74,0.7,,1.384
944,K2-229,Transit,2,0.584249,0.012888,0,8.9,186.87326,-6.721861,5185,0.84,0.79,2.59,1.164
945,K2-229,Transit,2,8.32834,0.07577,0,12.8,186.87326,-6.721861,5185,0.84,0.79,21.3,2.12
946,K2-230,Transit,1,2.860636,,,,191.363205,-6.576109,6002,1.13,1.18,,1.934
947,K2-231,Transit,1,13.841901,,,,289.091827,-15.771108,5695,1.01,0.95,,2.5
948,K2-232,Transit,1,11.168454,0.10356,0.258,,73.76651,18.654535,6154,1.19,1.16,126.49634,11.209
949,K2-233,Transit,3,2.46746,0.03317,0,,230.47998,-20.231684,4950,0.8,0.74,,1.398
950,K2-233,Transit,3,7.06142,0.06687,0,,230.47998,-20.231684,4950,0.8,0.74,,1.335
951,K2-233,Transit,3,24.3662,0.1527,0,,230.47998,-20.231684,4950,0.8,0.74,,2.64
952,K2-24,Transit,2,20.88508,0.1542,,,242.573715,-24.990332,5743,1.12,1.21,,5.83
953,K2-24,Transit,2,42.36342,0.2471,,,242.573715,-24.990332,5743,1.12,1.21,,8.1
954,K2-25,Transit,1,3.484552,,0.27,,63.273434,15.247763,3180,0.29,0.29,,3.43
955,K2-26,Transit,1,14.5665,0.0962,,,94.206581,24.596411,3785,0.56,0.52,,2.67
956,K2-27,Transit,1,6.771315,0.06702,0.251,1.87,171.515167,1.230738,5248,0.87,0.89,30.9,4.48
957,K2-28,Transit,1,2.260455,0.0214,0,,335.62439,-7.955366,3214,0.26,0.29,,2.32
958,K2-29,Transit,1,3.2588321,0.04217,0.066,0.53,62.670647,24.402042,5358,0.94,0.86,232.0159,13.339
959,K2-3,Transit,3,10.05449,0.0769,,,172.334946,-1.454787,3896,0.6,0.56,,2.18
960,K2-3,Transit,3,24.64354,0.1399,,,172.334946,-1.454787,3896,0.6,0.56,,1.85
961,K2-3,Transit,3,44.55983,0.2076,,,172.334946,-1.454787,3896,0.6,0.56,,1.51
962,K2-30,Transit,1,4.098503,0.04839,0,0.64,52.341961,22.299404,5425,0.9,0.84,184.02357,11.646
963,K2-31,Transit,1,1.25785,0.022,0,,245.44075,-23.547865,5280,0.91,0.78,563.83042,11.882
964,K2-32,Transit,3,8.99213,0.08036,0,0.67,252.426086,-19.542822,5275,0.86,0.84,16.5,5.13
965,K2-32,Transit,3,20.6602,0.1399,0,2.7,252.426086,-19.542822,5275,0.86,0.84,12.1,3.01
966,K2-32,Transit,3,31.7154,0.1862,0,1.38,252.426086,-19.542822,5275,0.86,0.84,10.3,3.43
967,K2-33,Transit,1,5.424865,,0,,242.561401,-19.319273,3540,0.56,1.05,1175.971,5.04
968,K2-34,Transit,1,2.99561,,0,,127.578773,22.235909,6132,0.64,1.22,352.7913,11.994
969,K2-35,Transit,2,5.608352,0.055,0.12,,170.103088,1.285956,4402.71,0.7,0.62,,1.93
970,K2-35,Transit,2,2.399964,0.031,0.13,,170.103088,1.285956,4402.71,0.7,0.62,,1.32
971,K2-36,Transit,2,1.42266,0.023,,,169.449066,3.866393,4924,0.8,0.74,,1.32
972,K2-36,Transit,2,5.34059,0.0555,,,169.449066,3.866393,4924,0.8,0.74,,2.8
973,K2-37,Transit,3,4.44117,0.0511,,,243.451004,-24.787062,5413,0.9,0.85,,1.61
974,K2-37,Transit,3,6.42904,0.0654,,,243.451004,-24.787062,5413,0.9,0.85,,2.75
975,K2-37,Transit,3,14.09189,0.1103,,,243.451004,-24.787062,5413,0.9,0.85,,2.73
976,K2-38,Transit,2,4.01593,,,,240.033585,-23.189287,5757,2.24,1.38,19.0698,1.906
977,K2-38,Transit,2,10.56103,0.0964,,3.6,240.033585,-23.189287,5757,2.24,1.38,9.9,2.42
978,K2-39,Transit,1,4.60543,,0,,338.368378,-9.022769,4881,0.66,2.97,28.6047,6.277
979,K2-4,Transit,1,10.003417,0.078,0.08,,174.745636,-3.905585,4014.73,0.64,0.57,,2.1
980,K2-42,Transit,1,6.68796,0.0617,,,176.665726,-5.171913,4613,0.7,0.64,,2.15
981,K2-43,Transit,1,3.471341,0.038,0.07,,169.117142,-3.97544,3889.72,0.6,0.59,,4.75
982,K2-44,Transit,1,5.65688,0.0651,,,174.011627,-2.520881,5912,1.15,1.58,,2.72
983,K2-45,Transit,1,1.7292684,0.0224,,,169.632874,-1.77413,4103,0.5,0.45,,6.71
984,K2-46,Transit,1,19.1541,0.13821,,,174.266342,-0.907261,6256,0.96,1.29,,2.05
985,K2-47,Transit,1,31.6372,0.1779,,,168.582596,2.780711,5054,0.75,0.76,,1.89
986,K2-48,Transit,1,20.5065,0.1344,,,176.12355,3.272425,4899,0.77,0.73,,2.24
987,K2-49,Transit,1,2.77065,0.0309,,,177.320206,3.475569,4175,0.51,0.45,,1.93
988,K2-5,Transit,2,5.73594,0.0532,,,169.303497,-1.877976,3930,0.61,0.57,,1.91
989,K2-5,Transit,2,10.93241,0.0818,,,169.303497,-1.877976,3930,0.61,0.57,,2.26
990,K2-50,Transit,1,8.7529,0.0705,,,169.483627,5.988378,4326,0.61,0.55,,1.59
991,K2-52,Transit,1,3.53482,0.0485,,,246.61142,-24.969948,6113,1.21,1.49,,11.1
992,K2-53,Transit,1,12.2054,0.0975,,,244.141815,-20.400534,5269,0.83,0.85,,2.5
993,K2-54,Transit,1,9.7843,0.0671,,,338.054199,-17.543995,3798,0.42,0.38,,1.15
994,K2-55,Transit,1,2.849258,0.03486,,,333.751923,-17.250708,4456,0.7,0.63,,3.82
995,K2-57,Transit,1,9.0063,0.0746,,,342.691711,-14.069886,4434,0.68,0.62,,2.1
996,K2-58,Transit,3,7.05254,0.0692,,,333.821808,-14.049808,5413,0.89,0.86,,2.68
997,K2-58,Transit,3,2.53726,0.035,,,333.821808,-14.049808,5413,0.89,0.86,,1.62
998,K2-58,Transit,3,22.8827,0.1517,,,333.821808,-14.049808,5413,0.89,0.86,,1.71
999,K2-59,Transit,2,20.6921,0.1354,,,338.942352,-14.027745,5055,0.77,0.73,,2.41
1000,K2-59,Transit,2,11.2954,0.0905,,,338.942352,-14.027745,5055,0.77,0.73,,2.3
1001,K2-6,Transit,1,30.94191,0.1898,,,178.192261,-1.198477,5850,0.97,0.96,,2.5
1002,K2-60,Transit,1,3.00265,0.045,0,1.7,338.606171,-13.731702,5500,0.97,1.12,135.39558,7.656
1003,K2-61,Transit,1,2.57302,0.0392,,,339.674744,-13.560024,6293,1.21,1.36,,2.48
1004,K2-62,Transit,2,6.67202,0.0636,,,334.364166,-12.187498,4880,0.77,0.73,,2.14
1005,K2-62,Transit,2,16.1966,0.1148,,,334.364166,-12.187498,4880,0.77,0.73,,2.14
1006,K2-63,Transit,1,20.257,0.1627,,,333.426666,-12.066374,6771,1.4,1.63,,3.22
1007,K2-64,Transit,1,6.53044,0.0619,,,332.413605,-11.428742,5312,0.74,0.73,,2.07
1008,K2-65,Transit,1,12.6475,0.1014,,,333.211761,-10.925379,5213,0.87,0.84,,1.58
1009,K2-66,Transit,1,5.06963,0.05983,,7.8,331.526703,-10.711549,5887,1.11,1.67,21.3,2.49
1010,K2-68,Transit,1,8.05428,0.0708,,,334.019775,-10.567318,4746,0.73,0.68,,1.58
1011,K2-69,Transit,1,7.06599,0.0591,,,335.759552,-10.48858,4127,0.55,0.49,,2.32
1012,K2-7,Transit,1,28.67992,0.1814,,,167.093765,-1.065755,5772,0.97,0.96,,2.67
1013,K2-70,Transit,1,13.97896,0.1112,,,338.4758,-10.084946,5622,0.94,0.93,,2.89
1014,K2-71,Transit,1,6.98541,0.0559,,,341.724426,-9.881619,4006,0.48,0.43,,2.15
1015,K2-72,Transit,4,5.577212,0.04,0.11,,334.621979,-9.612382,3360.47,0.27,0.33,,1.08
1016,K2-72,Transit,4,15.189034,0.078,0.11,,334.621979,-9.612382,3360.47,0.27,0.33,,1.16
1017,K2-72,Transit,4,7.760178,0.05,0.11,,334.621979,-9.612382,3360.47,0.27,0.33,,1.01
1018,K2-72,Transit,4,24.158868,0.106,0.11,,334.621979,-9.612382,3360.47,0.27,0.33,,1.29
1019,K2-73,Transit,1,7.49543,0.07619,,,335.025482,-9.056093,5922,1.05,1.06,,2.45
1020,K2-74,Transit,1,19.5666,0.1402,,,339.919342,-8.714505,6060,0.96,0.98,,2.31
1021,K2-75,Transit,2,7.8142,0.081,,,338.844849,-7.469853,5995,1.16,1.56,,2.67
1022,K2-75,Transit,2,18.311,0.1429,,,338.844849,-7.469853,5995,1.16,1.56,,2.77
1023,K2-77,Transit,1,8.199796,,0.14,,55.228428,12.572612,4970,0.8,0.76,603.877,2.3
1024,K2-79,Transit,1,10.99573,0.0987,,,55.255905,13.519372,5926,1.06,1.28,,3.69
1025,K2-8,Transit,2,10.35239,0.0856,,,169.793671,-0.284375,4870,0.78,0.74,,3.58
1026,K2-8,Transit,2,5.06416,0.0532,,,169.793671,-0.284375,4870,0.78,0.74,,2.41
1027,K2-80,Transit,3,28.867253,,,,59.037487,13.559289,5441,0.9,0.87,,2.552
1028,K2-80,Transit,3,19.0918,0.135,,,59.037487,13.559289,5441,0.9,0.87,,2.01
1029,K2-80,Transit,3,5.605,0.0596,,,59.037487,13.559289,5441,0.9,0.87,,1.47
1030,K2-81,Transit,1,6.102325,0.059,0.06,,57.485489,14.5022,4674.13,0.75,0.63,,1.97
1031,K2-83,Transit,2,2.74697,0.03014,,,59.901562,15.558886,3910,0.48,0.42,,1.244
1032,K2-83,Transit,2,9.99767,0.07131,,,59.901562,15.558886,3910,0.48,0.42,,1.483
1033,K2-84,Transit,2,6.4215,0.0665,,,55.809273,16.634548,5652,0.95,0.93,,2.41
1034,K2-84,Transit,2,27.86,0.1768,,,55.809273,16.634548,5652,0.95,0.93,,2.03
1035,K2-85,Transit,1,0.684533,0.01263,,,59.464394,18.465254,4268,0.57,0.51,,1.01
1036,K2-86,Transit,1,8.77683,0.077,,,51.552799,18.635616,5482,0.79,0.76,,1.96
1037,K2-87,Transit,1,9.72739,0.0876,,,66.236221,18.827417,5406,0.95,0.93,,4.6
1038,K2-88,Transit,1,4.6122,0.0345,,,54.751598,19.120178,3537,0.26,0.26,,1.23
1039,K2-89,Transit,1,1.096026,0.01462,,,57.066715,20.459639,3691,0.35,0.32,,0.615
1040,K2-9,Transit,1,18.4498,0.091,,,176.264465,0.005301,3390,0.3,0.31,,2.25
1041,K2-90,Transit,2,13.734907,0.1,0.07,,59.152405,22.472631,4421.98,0.7,0.63,,2.53
1042,K2-90,Transit,2,2.900706,0.035,0.19,,59.152405,22.472631,4421.98,0.7,0.63,,1.3
1043,K2-91,Transit,1,1.419549,0.0164,,,63.218063,24.205112,3622,0.29,0.28,,1.1
1044,K2-95,Transit,1,10.13389,0.0653,,,129.362747,18.976685,3471,0.36,0.4,10.99,3.47
1045,K2-97,Transit,1,8.4061,,,,127.762833,10.847586,4790,1.16,4.2,349.613,14.684
1046,K2-98,Transit,1,10.13675,0.0943,0,2.15,126.488289,11.511145,6120,1.07,1.31,32.2,4.3
1047,K2-99,Transit,1,18.249,0.159,0.19,,208.773743,-5.442466,5990,1.6,3.1,308.2951,14.46
1048,KELT-1,Transit,1,1.217514,0.02466,0.0099,24.7,0.362142,39.383808,6518,1.32,1.46,8654.15,12.442
1049,KELT-10,Transit,1,4.1662739,0.0525,,0.308,284.548373,-47.003242,5948,1.11,1.21,215.80657,15.681
1050,KELT-11,Transit,1,4.736529,0.06229,0,0.093,161.70726,-9.399025,5370,1.44,2.72,61.97685,15.356
1051,KELT-12,Transit,1,5.031623,0.06708,0,0.209,267.640503,36.570232,6279,1.59,2.37,301.9385,19.952
1052,KELT-14,Transit,1,1.7100566,0.03005,0,0.322,108.301485,-42.409744,5720,1.24,1.52,408.09372,19.537
1053,KELT-15,Transit,1,3.32944,,0,,117.415037,-52.120453,6003,2.06,1.78,416.3573,19.504
1054,KELT-16,Transit,1,0.9689951,0.02044,0,1.2,314.268494,31.661034,6236,1.21,1.36,874.0325,15.861
1055,KELT-17,Transit,1,3.0801716,0.04881,,0.46,125.617523,13.735319,7454,1.64,1.65,416.3573,17.094
1056,KELT-18,Transit,1,2.8717518,0.0455,0,0.377,216.524017,59.444275,6670,1.52,1.91,375.0394,17.598
1057,KELT-19 A,Transit,1,4.6117093,0.0637,,0.744,111.509499,7.615806,7500,1.62,1.83,1293.5681,21.409
1058,KELT-2 A,Transit,1,4.11379,,0,,92.663948,30.957144,6327,1.54,1.93,540.311,15.132
1059,KELT-20,Transit,1,3.4741085,0.0542,,0.806,294.661407,31.219225,8720,1.76,1.56,1074.90106,19.515
1060,KELT-21,Transit,1,3.6127647,0.05224,0,1.24,304.800049,32.581039,7598,1.46,1.64,1242.7153,17.777
1061,KELT-3,Transit,1,2.70339,,0,,148.643324,40.388069,6304,1.96,1.7,616.5902,17.486
1062,KELT-4 A,Transit,1,2.9895932,0.04317,0,0.228,157.062546,25.573189,6206,1.2,1.6,286.68266,19.044
1063,KELT-6,Transit,2,7.8457,,0.22,,195.981868,30.640051,6102,1.42,1.73,165.2716,14.572
1064,KELT-6,Radial Velocity,2,1276,2.39,0.21,,195.981868,30.640051,6102,1.42,1.73,,
1065,KELT-7,Transit,1,2.73477,,0,,78.295532,33.318165,6768,1.76,1.81,441.7837,17.934
1066,KELT-8,Transit,1,3.24406,,0.04,,283.30551,24.12738,5754,0.81,1.46,209.7678,18.159
1067,KELT-9,Transit,1,1.4811235,0.03462,0,0.53,307.859802,39.938828,10170,2.52,2.36,915.3504,21.196
1068,KIC 10001893,Orbital Brightness Modulation,3,0.2197,,,,287.389188,46.984489,27500,,,,
1069,KIC 10001893,Orbital Brightness Modulation,3,0.32528,,,,287.389188,46.984489,27500,,,,
1070,KIC 10001893,Orbital Brightness Modulation,3,0.81161,,,,287.389188,46.984489,27500,,,,
1071,KIC 10525077,Transit,1,854.083,,,,287.378077,47.771187,6091,1.01,1.01,,5.5
1072,KIC 3558849,Transit,1,1322.3,,,,294.949847,38.605197,6175,0.98,1.01,,6.9
1073,KIC 5437945,Transit,2,440.7813,,,,288.474857,40.651357,6340,1.07,1.24,,6.4
1074,KIC 5951458,Transit,1,1320.1,,,,288.991582,41.223038,6258,0.98,1.52,,6.6
1075,KIC 7917485,Pulsation Timing Variations,1,840,,0.15,,299.434592,43.632622,7067,1.63,,,
1076,KOI-7892,Transit,2,31.8099,,,,282.37753,44.694592,6474,1.04,1.26,,4.1
1077,KOI-7892,Transit,2,75.2,,,,282.37753,44.694592,6474,1.04,1.26,,2.4
1078,KIC 9663113,Transit,2,572.3847,,,,297.045421,46.328701,6065,0.98,1.03,,4.6
1079,KOI-12,Transit,1,17.85523,,0.72,,297.453731,41.010991,6820,1.82,1.75,1690.8556,17.262
1080,KOI-1257,Transit,1,86.647661,0.382,0.772,2.1,291.22518,44.927383,5520,0.99,1.13,460.83,10.54
1081,KOI-13,Transit,1,1.763588,0.03641,0.00064,3.6,286.971199,46.868362,7650,1.72,1.74,2949.4624,16.948
1082,KOI-142,Transit,2,10.95416,,0.05593,0.87,291.148088,40.669407,5471,0.96,0.88,8.7,3.78
1083,KOI-142,Transit Timing Variations,2,22.3395,0.15525,0.05628,,291.148088,40.669407,5471,0.96,0.88,198.8,
1084,KOI-217,Transit,1,3.90512,0.0477,0,,294.865505,46.285854,5545,0.95,0.86,,12.442
1085,KOI-351,Transit,8,7.008151,0.074,,,284.433492,49.305161,6080,1.2,1.2,,1.31
1086,KOI-351,Transit,8,8.719375,0.089,,,284.433492,49.305161,6080,1.2,1.2,,1.19
1087,KOI-351,Transit,8,59.73667,0.32,,,284.433492,49.305161,6080,1.2,1.2,,2.87
1088,KOI-351,Transit,8,91.93913,0.42,,,284.433492,49.305161,6080,1.2,1.2,,2.66
1089,KOI-351,Transit,8,124.9144,0.48,,,284.433492,49.305161,6080,1.2,1.2,,2.88
1090,KOI-351,Transit,8,210.60697,0.71,,,284.433492,49.305161,6080,1.2,1.2,,8.1
1091,KOI-351,Transit,8,331.60059,1.01,,,284.433492,49.305161,6080,1.2,1.2,,11.3
1092,KOI-351,Transit,8,14.44912,,,,284.433492,49.305161,6080,1.2,1.2,,1.32
1093,KOI-55,Orbital Brightness Modulation,2,0.240104,0.006,,,296.356105,41.092755,27730,0.5,0.2,0.44,0.759
1094,KOI-55,Orbital Brightness Modulation,2,0.342887,0.0076,,,296.356105,41.092755,27730,0.5,0.2,0.655,0.867
1095,KOI-94,Transit,4,3.743208,0.05119,0.25,10.1,297.333057,41.891117,6182,1.28,1.52,10.5,1.71
1096,KOI-94,Transit,4,10.423648,0.1013,0.43,0.91,297.333057,41.891117,6182,1.28,1.52,15.6,4.32
1097,KOI-94,Transit,4,22.342989,0.1684,0.022,0.363,297.333057,41.891117,6182,1.28,1.52,106,11.27
1098,KOI-94,Transit,4,54.32031,0.3046,0.019,0.6,297.333057,41.891117,6182,1.28,1.52,35,6.56
1099,KPS-1,Transit,1,1.706291,0.0269,0,1.31,165.167404,64.96402,5165,0.89,0.91,346.4347,11.545
1100,Kapteyn,Radial Velocity,1,121.54,0.311,0.23,,77.91909,-45.018414,3550,0.28,0.29,,
1101,Kepler-10,Transit,2,0.837491,0.0172,,8,285.679394,50.241299,5627,0.91,1.06,4.60853,1.481
1102,Kepler-10,Transit,2,45.294301,,0,7.1,285.679394,50.241299,5627,0.91,1.06,17.2,2.35
1103,Kepler-100,Transit,3,6.88705,,,14.25,291.385979,41.990273,5825,1.08,1.49,7.34,1.32
1104,Kepler-100,Transit,3,12.8159,,,,291.385979,41.990273,5825,1.08,1.49,,2.2
1105,Kepler-100,Transit,3,35.3331,,,,291.385979,41.990273,5825,1.08,1.49,,1.61
1106,Kepler-1000,Transit,1,120.0181272,,,,286.685523,47.098221,6453,1.4,1.51,,4.76
1107,Kepler-1001,Transit,1,14.30511983,,,,286.273871,48.618706,5491,0.9,0.88,,3.15
1108,Kepler-1002,Transit,1,4.33642933,,,,293.079495,43.073715,6144,1.22,1.57,,1.71
1109,Kepler-1003,Transit,1,3.55485691,,,,292.020456,44.876217,6109,1.11,1.17,,1.78
1110,Kepler-1004,Transit,1,5.28789787,,,,297.359299,49.79755,4972,1.11,3.39,,6.28
1111,Kepler-1005,Transit,1,6.49801525,,,,286.286014,43.320461,5782,1,1.06,,1.5
1112,Kepler-1006,Transit,1,19.76172042,,,,295.754127,42.537476,5328,0.78,0.74,,1.54
1113,Kepler-1007,Transit,1,5.18500207,,,,295.906552,45.80912,4587,0.73,0.7,,1.44
1114,Kepler-1008,Transit,1,12.43931193,,,,296.547525,44.941933,5066,0.81,0.78,,1.28
1115,Kepler-1009,Transit,1,11.35011917,,,,282.85993,42.665764,4027,0.59,0.57,,2.17
1116,Kepler-101,Transit,2,3.4876812,0.0474,0.086,1.45,283.255489,48.355228,5667,1.17,1.56,51.1,5.77
1117,Kepler-101,Transit,2,6.02976,0.0684,0,10.5,283.255489,48.355228,5667,1.17,1.56,3.78,1.25
1118,Kepler-1010,Transit,1,34.2685705,,,,289.192636,44.149326,5253,0.86,0.82,,2.32
1119,Kepler-1011,Transit,1,5.75322197,,,,297.401546,46.824001,5416,0.91,0.88,,2.87
1120,Kepler-1012,Transit,1,5.50860439,,,,289.29627,46.457954,5556,0.95,0.91,,1.29
1121,Kepler-1013,Transit,1,18.93054959,,,,290.248072,44.435242,4954,0.81,0.76,,2.15
1122,Kepler-1014,Transit,1,16.57110363,,,,285.122033,44.110603,5388,0.88,0.84,,2.39
1123,Kepler-1015,Transit,1,16.00494214,,,,292.75733,43.42691,6769,1.49,1.81,,3.55
1124,Kepler-1016,Transit,2,1.95452434,,,,294.613645,45.984623,5821,0.99,1,,2.18
1125,Kepler-1016,Transit,2,105.6551369,,,,294.613645,45.984623,5821,0.99,1,,3.68
1126,Kepler-1017,Transit,1,7.23400469,,,,283.469362,40.132607,5473,0.93,0.87,,1.99
1127,Kepler-1018,Transit,1,49.1013514,,,,283.596696,45.407879,5518,0.91,0.88,,2.58
1128,Kepler-1019,Transit,1,1.41122985,,,,283.717526,47.204449,4433,0.7,0.67,,1.46
1129,Kepler-102,Transit,5,5.28696,,,,281.482749,47.208031,4909,0.81,0.76,,0.47
1130,Kepler-102,Transit,5,7.07142,,,,281.482749,47.208031,4909,0.81,0.76,,0.58
1131,Kepler-102,Transit,5,10.3117,,,13.27,281.482749,47.208031,4909,0.81,0.76,3.8,1.18
1132,Kepler-102,Transit,5,16.1457,,,4.68,281.482749,47.208031,4909,0.81,0.76,8.93,2.22
1133,Kepler-102,Transit,5,27.4536,,,,281.482749,47.208031,4909,0.81,0.76,,0.88
1134,Kepler-1020,Transit,1,96.9151496,,,,292.672551,46.377422,5227,0.87,0.8,,2.28
1135,Kepler-1021,Transit,1,13.47469571,,,,295.204905,42.559681,5431,0.89,0.86,,2.33
1136,Kepler-1022,Transit,1,10.99469878,,,,289.352005,46.973728,4445,0.71,0.68,,2.36
1137,Kepler-1023,Transit,1,62.1387714,,,,289.029742,49.769707,5494,0.93,0.89,,2.63
1138,Kepler-1024,Transit,1,66.4162133,,,,291.950991,38.251698,5143,0.81,0.78,,3.91
1139,Kepler-1025,Transit,1,37.3229493,,,,284.510201,43.961666,6089,1.09,1.13,,1.98
1140,Kepler-1026,Transit,1,36.5156053,,,,283.605263,39.99798,4948,0.79,0.75,,2.21
1141,Kepler-1027,Transit,1,1.9078052,,,,287.571185,42.813923,5436,0.91,0.82,,0.89
1142,Kepler-1028,Transit,1,2.51462432,,,,289.593097,49.781158,5522,0.9,0.87,,1.33
1143,Kepler-1029,Transit,1,4.41769648,,,,292.132976,41.54754,5030,0.82,0.77,,1.26
1144,Kepler-103,Transit,2,15.9654,,,1.38,288.984555,40.064521,5845,1.09,1.44,9.7,3.37
1145,Kepler-103,Transit,2,179.612,,,1.47,288.984555,40.064521,5845,1.09,1.44,36.1,5.14
1146,Kepler-1030,Transit,1,19.32952416,,,,293.681915,45.817559,4983,0.8,0.76,,2.48
