loc_rowid,pl_hostname,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_dens,ra,dec,st_teff,st_mass,st_rad,pl_masse,pl_rade
169,HAT-P-13,Radial Velocity,2,446.27,,0.6616,,129.882536,47.352051,5653,1.22,1.56,,
170,HAT-P-14,Transit,1,4.62767,,0.11,,260.116169,38.242165,6600,2.65,1.82,1093.3352,15.917
171,HAT-P-15,Transit,1,10.8635,,0.19,,66.248026,39.460636,5568,1,1.07,616.5902,11.882
172,HAT-P-16,Transit,1,2.77596,0.0413,0.036,2.42,9.573181,42.463078,6158,1.22,1.24,1332.605,14.448
173,HAT-P-17,Transit,2,10.33852,,0.35,,324.536396,30.488716,5246,0.99,0.87,184.3414,11.769
174,HAT-P-17,Radial Velocity,2,5584,5.6,0.39,,324.536396,30.488716,5246,0.99,0.87,,
175,HAT-P-18,Transit,1,5.508023,0.0559,0.084,0.25,256.346473,33.012512,4803,0.77,0.75,62.61,11.153
176,HAT-P-19,Transit,1,4.008778,0.0466,0.067,0.25,9.516742,34.711575,4990,0.84,0.82,92.802,12.689
177,HAT-P-2,Transit,1,4.23452,,0.12,,245.151489,41.048084,5079,1.93,1.71,3632.7969,13.451
178,HAT-P-20,Transit,1,2.875317,0.0361,0.015,13.78,111.916469,24.33663,4595,0.76,0.69,2302.899,9.718
179,HAT-P-21,Transit,1,4.12448,,0.23,,171.274955,41.027954,5588,1.24,1.21,1547.8321,12.442
180,HAT-P-22,Transit,1,3.21222,,0.02,,155.681719,50.128345,5302,1.13,1.11,785.0401,12.89
181,HAT-P-23,Transit,1,1.21288,,0.11,,306.123854,16.762152,5905,0.58,0.96,425.8922,12.218
182,HAT-P-24,Transit,1,3.35524,,0.07,,108.825058,14.262599,6373,1.37,1.38,238.3725,14.572
183,HAT-P-25,Transit,1,3.652836,0.0466,0.032,0.42,48.435419,25.197405,5500,1.01,0.96,180.202,13.339
184,HAT-P-26,Transit,1,4.23452,,0.12,,213.156383,4.059997,5079,1.12,0.87,22.2481,7.062
185,HAT-P-27,Transit,1,3.039577,0.04,0,,222.767436,5.947368,5300,0.94,0.9,197.05,11.43
186,HAT-P-28,Transit,1,3.257215,0.0434,0.051,0.44,13.000766,34.728413,5680,1.02,1.1,198.953,13.585
187,HAT-P-29,Transit,1,5.72319,,0.09,,33.131142,51.778759,6087,1.45,1.3,279.6904,13.115
188,HAT-P-3,Transit,1,3.64671,,0.03,,206.094121,48.028667,6096,1.06,0.87,206.5895,10.536
189,HAT-P-30,Transit,1,2.8106,,0.04,,123.949894,5.836719,6304,1.55,1.31,263.7989,16.141
190,HAT-P-31,Transit,1,5.00542,,0.25,,271.537705,26.426662,6065,1.31,1.39,721.4741,12.218
191,HAT-P-32,Transit,1,2.15001,,0,,31.042848,46.687836,6207,1.09,1.19,263.7989,19.616
192,HAT-P-33,Transit,1,3.47447,,0,,113.184212,33.835052,6446,1.82,1.79,292.4036,20.737
193,HAT-P-34,Transit,1,5.45265,,0.44,,303.195342,18.104868,6442,4.26,1.73,2227.9883,15.132
194,HAT-P-35,Transit,1,3.64671,,0.03,,123.250764,4.787023,6096,23.56,3.82,2390.0816,39.792
195,HAT-P-36,Transit,1,1.32735,,0.06,,188.266255,44.915352,5560,0.78,1,486.2799,12.89
196,HAT-P-37,Transit,1,2.797436,0.0379,0.058,0.89,284.296064,51.269138,5500,0.93,0.88,371.528,13.204
197,HAT-P-38,Transit,1,4.640382,0.0523,0.067,0.59,35.383234,32.246151,5330,0.89,0.92,84.857,9.247
198,HAT-P-39,Transit,1,3.54387,0.0509,0,0.19,113.758247,17.830082,6430,1.4,1.62,190.372,17.609
199,HAT-P-4,Transit,1,3.056536,0.04438,0,0.403,229.991354,36.229664,5860,1.26,1.6,213.255,14.28
200,HAT-P-40,Transit,1,4.45724,,0,,335.512861,45.457378,6080,1.03,1.94,152.5584,17.038
201,HAT-P-41,Transit,1,2.69405,,0,,297.322651,4.672421,6390,2.56,2.05,378.2177,22.978
202,HAT-P-42,Transit,1,4.641878,0.0575,0,0.61,135.344391,6.09723,5743,1.18,1.53,331.801,14.348
203,HAT-P-43,Transit,1,3.332687,0.0443,0,0.39,128.925737,10.206653,5645,1.05,1.1,210.395,14.359
204,HAT-P-44,Transit,2,4.301219,0.0507,0.044,0.23,213.144074,47.014687,5295,0.94,0.95,111.871,13.922
205,HAT-P-44,Radial Velocity,2,872.2,1.752,0.494,,213.144074,47.014687,5295,0.94,0.95,,
206,HAT-P-45,Transit,1,3.128992,0.0452,0.049,0.38,274.373238,-3.381036,6330,1.26,1.32,283.492,15.984
207,HAT-P-46,Transit,1,4.463129,0.0577,0.123,0.28,270.444201,-2.970947,6120,1.28,1.4,156.684,14.392
208,HAT-P-49,Transit,1,2.69155,,0,,305.441397,26.692652,6820,2.22,2.06,699.226,17.822
209,HAT-P-5,Transit,1,2.4653,,0,,274.405476,36.62141,6330,1.04,1.12,311.4734,13.563
210,HAT-P-50,Transit,1,3.1220109,0.0453,0.115,0.78,118.063411,12.13941,6280,1.27,1.7,429.0705,14.437
211,HAT-P-51,Transit,1,4.2180278,0.05069,0.123,0.178,21.06519,32.810764,5449,0.98,1.04,98.20947,14.493
212,HAT-P-52,Transit,1,2.7535953,0.03694,0.047,0.98,42.721679,29.022396,5131,0.89,0.89,259.98494,11.31
213,HAT-P-53,Transit,1,1.9616241,0.03159,0.134,0.8,21.871105,38.968147,5956,1.09,1.21,471.65972,14.773
214,HAT-P-54,Transit,1,3.799847,0.04117,0.074,1.118,99.898003,25.48254,4390,0.65,0.62,241.5508,10.581
215,HAT-P-55,Transit,1,3.5852467,0.04604,0.139,0.435,264.273447,25.731186,5808,1.01,1.01,184.97706,13.249
216,HAT-P-56,Transit,1,2.79083,,,,100.848038,27.252293,6566,1.42,1.47,734.1873,16.926
217,HAT-P-57,Transit,1,2.4653,,0,,274.743421,10.597294,6330,2.77,1.85,448.1403,19.504
218,HAT-P-6,Transit,1,3.85298,,0,,354.774222,42.465973,6570,1.79,1.62,419.5356,16.589
219,HAT-P-65,Transit,1,2.6054552,0.03951,0.304,0.096,315.905487,11.989404,5835,1.21,1.86,167.49641,21.185
220,HAT-P-66,Transit,1,2.972086,0.04363,0.09,0.242,150.572632,53.950863,6002,1.25,1.88,248.86089,17.822
221,HAT-P-67,Transit,1,4.8101025,0.06505,0,0.052,256.610687,44.776981,6406,1.64,2.55,108.0622,23.371
222,HAT-P-7,Transit,1,2.20474,,0,,292.24731,47.969513,6389,1.56,2,584.8072,16.926
223,HAT-P-8,Transit,1,3.07634,,0,,343.041067,35.447109,6200,1.27,1.57,406.8224,15.693
224,HAT-P-9,Transit,1,3.92289,0.053,0,0.35,110.168529,37.140652,6350,1.28,1.32,247.9,15.69
225,HATS-1,Transit,1,3.446459,0.0444,0.12,1.03,175.525336,-23.354836,5870,0.99,1.04,589.55,14.594
226,HATS-10,Transit,1,3.312846,0.04491,0.501,0.7,294.306813,-22.204477,5880,1.1,1.1,167.17858,10.862
227,HATS-11,Transit,1,3.6191634,,,0.315,289.400757,-22.389927,6060,1,1.44,263.7989,16.668
228,HATS-12,Transit,1,3.1428347,,,1.12,289.202393,-19.355907,6408,1.49,2.21,759.6137,15.513
229,HATS-13,Transit,1,3.0440499,0.04057,0.181,0.377,316.961465,-26.096655,5523,0.96,0.89,172.58169,13.585
230,HATS-14,Transit,1,2.7667641,0.03815,0.142,1.191,313.215479,-25.687334,5346,0.97,0.93,340.39593,11.646
231,HATS-15,Transit,1,1.74748753,0.02712,0.126,1.97,311.091961,-19.43751,5311,0.87,0.92,689.6911,12.386
232,HATS-16,Transit,1,2.686502,0.03744,0,1.86,358.55871,-30.012999,5738,0.97,1.24,1039.3041,14.572
233,HATS-17,Transit,1,16.254611,0.1308,0.029,3.5,192.189799,-47.613693,5846,1.13,1.09,425.25654,8.709
234,HATS-18,Transit,1,0.8378434,0.01761,0.166,1.02,173.957397,-29.156012,5600,1.04,1.02,629.3034,14.986
235,HATS-2,Transit,1,1.354133,0.023,0,1.05,176.739094,-22.562992,5227,0.88,0.9,427.463,13.092
236,HATS-22,Transit,1,4.7228124,0.05025,0.079,3.89,174.00972,-29.543312,4803,0.76,0.69,870.8542,10.682
237,HATS-23,Transit,1,2.1605156,0.03397,0.114,0.29,286.366699,-50.067352,5780,1.12,1.2,467.2101,20.849
238,HATS-24,Transit,1,1.3484954,0.02547,0.242,0.92,268.890686,-61.747311,6346,1.21,1.17,775.5052,16.668
239,HATS-25,Transit,1,4.2986432,0.05163,0.176,0.38,207.907777,-23.781174,5715,0.99,1.11,194.82979,14.123
240,HATS-26,Transit,1,3.3023881,0.04735,0.245,0.153,144.926863,-28.58559,6071,1.3,2.04,206.5895,19.616
241,HATS-27,Transit,1,4.637038,0.0611,0.581,0.18,193.55256,-46.587715,6438,1.42,1.74,168.4499,16.814
242,HATS-28,Transit,1,3.1810781,0.04131,0.202,0.48,284.399685,-49.13847,5498,0.93,0.92,213.58176,13.384
243,HATS-29,Transit,1,4.6058749,0.05475,0.158,0.411,285.096424,-54.893192,5670,1.03,1.07,207.54299,14.022
244,HATS-3,Transit,1,3.54785,,0,,312.45744,-24.428793,6351,0.44,1,174.8065,11.097
245,HATS-30,Transit,1,3.1743516,0.04354,0.096,0.543,5.618693,-59.942551,5943,1.09,1.06,224.38798,13.171
246,HATS-31,Transit,1,3.37796,0.0478,0.233,0.243,191.702789,-24.427364,6050,1.27,1.87,279.6904,18.383
247,HATS-32,Transit,1,2.8126548,0.04024,0.471,0.58,346.075073,-21.271938,5700,1.1,1.1,292.4036,14
248,HATS-33,Transit,1,2.5495551,0.03727,0.08,0.79,294.633636,-55.330105,5659,1.06,1.02,378.85336,13.787
249,HATS-34,Transit,1,2.1061607,0.03166,0.108,0.4,0.774485,-62.469341,5380,0.95,0.98,299.07803,16.029
250,HATS-35,Transit,1,1.8209993,0.03199,0.306,0.484,296.688263,-63.565609,6300,1.32,1.43,388.38826,16.41
251,HATS-36,Transit,1,4.1752387,0.05425,0.105,2.12,291.478699,-23.202793,6149,1.22,1.16,1022.14128,13.843
252,HATS-39,Transit,1,4.5776348,0.06007,0.275,0.202,112.419289,-29.937889,6572,1.38,1.62,200.2329,17.598
253,HATS-4,Transit,1,2.516729,0.0362,0.013,1.55,94.112075,-22.546885,5403,1,0.93,420.471,11.433
254,HATS-40,Transit,1,3.2642736,0.04997,0.312,0.49,100.571251,-29.776806,6460,1.56,2.26,505.3497,17.71
255,HATS-41,Transit,1,4.193649,0.0583,0.38,5.1,103.517418,-27.050388,6424,1.5,1.71,3082.951,14.908
256,HATS-42,Transit,1,2.292102,0.03689,0.229,0.83,108.452415,-33.437332,6060,1.27,1.48,597.5204,15.693
257,HATS-5,Transit,1,4.763387,0.0542,0.019,0.39,67.222871,-21.481916,5304,0.94,0.87,75.323,10.223
258,HATS-50,Transit,1,3.8297015,0.05046,0.516,0.33,300.42749,-26.077583,5990,1.17,1.12,123.9537,12.666
259,HATS-51,Transit,1,3.3488702,0.04639,0.33,0.34,102.847504,-29.058611,5758,1.19,1.44,244.09344,15.805
260,HATS-52,Transit,1,1.36665436,0.02498,0.246,1.06,140.087708,-31.269333,6010,1.11,1.05,711.9392,15.491
261,HATS-53,Transit,1,3.8537768,0.04753,0.33,0.303,176.628006,-33.860054,5644,0.96,1.1,189.10885,15.02
262,HATS-6,Transit,1,3.3252725,0.03623,0,0.399,88.146797,-19.031656,3724,0.57,0.57,101.38777,11.187
263,HATS-8,Transit,1,3.583893,0.04667,0.376,0.259,294.941746,-25.748318,5679,1.06,1.09,43.86054,9.785
264,HATS-9,Transit,1,1.915311,,,0.626,290.810104,-20.166317,5366,1.03,1.5,259.34928,13.141
265,HD 100546,Imaging,1,,53,,,173.356003,-70.194786,10500,2.4,,,77.342
266,HD 100655,Radial Velocity,1,157.57001,0.68,0.09,,173.76564,20.441545,4891,2.28,10.06,511.7063,
267,HD 100777,Radial Velocity,1,383.70001,1.03,0.36,,173.964676,-4.755697,5533,0.83,1.04,327.3649,
268,HD 10180,Radial Velocity,6,5.75969,0.06412,0.073,,24.473234,-60.511528,5911,1.06,1.11,,
269,HD 10180,Radial Velocity,6,16.357,0.12859,0.131,,24.473234,-60.511528,5911,1.06,1.11,,
270,HD 10180,Radial Velocity,6,49.748,0.2699,0.051,,24.473234,-60.511528,5911,1.06,1.11,,
271,HD 10180,Radial Velocity,6,122.744,0.4929,0.119,,24.473234,-60.511528,5911,1.06,1.11,,
272,HD 10180,Radial Velocity,6,604.67,1.427,0.263,,24.473234,-60.511528,5911,1.06,1.11,,
273,HD 10180,Radial Velocity,6,2205,3.381,0.095,,24.473234,-60.511528,5911,1.06,1.11,,
274,HD 101930,Radial Velocity,1,70.46,0.3,0.11,,175.875458,-58.006886,5108,0.57,0.86,79.4575,
275,HD 102117,Radial Velocity,1,20.8133,0.15,0.12,,176.210251,-58.703709,5655,1.06,1.23,54.0311,
276,HD 102195,Radial Velocity,1,4.11377,0.05,0,,176.426224,2.821483,5301,0.76,0.82,130.3103,
277,HD 102272,Radial Velocity,1,127.58,0.51,0.05,,176.598068,14.123986,4790,1.45,10.3,1570.0802,
278,HD 102329,Radial Velocity,1,778.09998,1.81,0.21,,176.694351,3.474293,4745,3.21,9.82,2593.4928,
279,HD 102365,Radial Velocity,1,122.1,0.46,0.34,,176.629471,-40.500355,5630,0.85,,,
280,HD 102956,Radial Velocity,1,6.4948,0.08,0.05,,177.843796,57.640736,4994,1.59,4.41,292.4036,
281,HD 103197,Radial Velocity,1,47.84,0.25,0,,178.220749,-50.292824,5250,0.8,0.88,28.6047,
282,HD 103720,Radial Velocity,1,4.5557,0.0498,0.086,,179.1716,-2.778953,5017,0.79,0.73,,
283,HD 103774,Radial Velocity,1,5.8881,0.07,0.09,,179.231628,-12.107909,6489,1.33,,,
284,HD 104067,Radial Velocity,1,55.806,0.26,0,,179.791702,-20.353781,4937,0.62,0.74,50.8528,
285,HD 10442,Radial Velocity,1,1043,2.34,0.11,,25.471457,2.704376,5034,2.58,4.73,934.4202,
286,HD 104985,Radial Velocity,1,199.505,0.95,0.09,,181.312988,76.905731,4877,2.3,11,,
287,HD 106252,Radial Velocity,1,1531,2.61,0.48,,183.372955,10.041638,5874,1.01,1.1,2202.5619,
288,HD 106270,Radial Velocity,1,2890,4.3,0.402,,183.40535,-9.513381,5638,1.32,2.5,,
289,HD 106315,Transit,2,9.55385,0.08887,0.31,,183.472473,-0.393484,6254,1.03,1.28,,2.4
290,HD 106315,Transit,2,21.058,0.1503,0.18,,183.472473,-0.393484,6254,1.03,1.28,,4.4
291,HD 10647,Radial Velocity,1,989.2,2.015,0.15,,25.622149,-53.740833,6218,1.11,1.1,,
292,HD 106515 A,Radial Velocity,1,3630,4.59,0.572,,183.777359,-7.257327,5362,0.97,1.62,,
293,HD 106906,Imaging,1,,650,,,184.471634,-55.975525,6516,1.5,,3496,
294,HD 10697,Radial Velocity,1,1075.2,2.131,0.099,,26.232603,20.083149,5680,1.11,,,
295,HD 107148,Radial Velocity,1,48.056,0.269,0.05,,184.806213,-3.319789,5797,1.12,,,
296,HD 108147,Radial Velocity,1,10.8985,0.102,0.53,,186.44278,-64.022087,6265,1.27,,,
297,HD 108341,Radial Velocity,1,1129,2,0.85,,186.880798,-71.422974,5122,0.84,0.79,,
298,HD 108863,Radial Velocity,1,443.39999,1.45,0,,187.582962,21.948244,4863,2.17,7.19,902.6372,
299,HD 108874,Radial Velocity,2,394.48123,1.04,0.13,,187.612015,22.879829,5600,1.1,1.05,451.3186,
300,HD 108874,Radial Velocity,2,1624,2.659,0.239,,187.612015,22.879829,5600,1.1,1.05,,
301,HD 109246,Radial Velocity,1,68.27,0.33,0.12,,188.029953,74.489548,5844,1.2,1.07,273.3338,
302,HD 109271,Radial Velocity,2,7.8543,0.079,0.25,,188.398148,-11.621868,5783,1.05,,,
303,HD 109271,Radial Velocity,2,30.93,0.196,0.15,,188.398148,-11.621868,5783,1.05,,,
304,HD 109749,Radial Velocity,1,5.24,0.06,0,,189.318237,-40.812115,5858,1.23,1.28,88.9924,
305,HD 110014,Radial Velocity,1,835.477,2.14,0.462,,189.811523,-7.995564,4445,2.17,20.9,,
306,HD 111232,Radial Velocity,1,1143,1.97,0.2,,192.215637,-68.425148,5512,0.84,0.9,2269.3062,
